cat,tstat,pval,newyork_postcovid_mean,losangeles_postcovid_mean,newyork_postcovid-losangeles_postcovid,newyork_postcovid_sd,losangeles_postcovid_sd,newyork_postcovid_len,losangeles_postcovid_len,newyork_postcovid_med,losangeles_postcovid_med,ks.test,ks.stat,emd,peakdiff
family.restaurant,3.69066494168828,0.000556542339822,37.2159090909091,24.1382978723404,13.0776112185687,22.6783365862032,14.274739406538,44,235,35,15,0,0.2734375,12.9176187515259,21.399217221135
gym,2.4484239935192,0.017928352825783,59.3333333333333,46.4423076923077,12.8910256410256,17.9790746824407,20.9901533691762,30,26,55,43.75,0,0.27734375,8.07654666900635,20.1565557729941
doctor,3.37153931296863,0.001066451081845,59.484126984127,46.6176470588235,12.8664799253035,26.3052748687236,15.6021232881122,63,68,55,45,0,0.328125,12.7306861877441,3.21917808219178
bar...grill,2.61808987162406,0.00966240328994,54.1158536585366,42.0170454545455,12.0988082039911,30.8380175401319,29.304333450642,82,88,50,35,5.55111512312578E-15,0.255859375,8.87996673583984,17.0939334637965
lingerie.store,3.42093342667499,0.002087158294854,30.5,18.7037037037037,11.7962962962963,14.2024831038727,6.98109984069523,20,27,28.75,15,0,0.400390625,14.2015361785889,2.59295499021527
thai.restaurant,4.80457501619648,1.11713314159297E-05,28.7254901960784,17.0205479452055,11.704942250873,16.7135614772825,8.17542083960098,51,146,27.5,15,2.69373937711315E-07,0.17578125,12.9185543060303,1.51174168297456
lunch.restaurant,5.07493035776217,2.4106703864671E-06,25.0342465753425,14,11.0342465753425,18.0204992776597,8.09663853432741,73,235,15,10,2.99247415735948E-09,0.19921875,12.8131046295166,3.32681017612524
bar,4.01063483216104,7.07695102470497E-05,55.7490272373541,44.8598130841121,10.8892141532419,29.4853023672924,29.2167546626339,257,214,52.5,35,2.86789873493731E-06,0.162109375,6.66774892807007,39.3542074363992
vietnamese.restaurant,4.57236970108969,3.57431260161754E-05,27.1212121212121,17.5663716814159,9.55484043979619,10.8994196398179,9.30905483367317,33,113,27.5,15,0,0.28515625,5.54366779327393,2.24070450097847
latin.american.restaurant,3.97765459349326,0.000125071670406,31.7934782608696,22.3611111111111,9.43236714975846,21.6786156057517,10.9772953568904,92,234,27.5,20,3.82110522445522E-07,0.173828125,11.8990163803101,0.650684931506852
brunch.restaurant,2.26036875754716,0.025397136692578,44.8026315789474,35.470297029703,9.3323345492444,30.0548475233052,22.8301140801112,76,101,37.5,30,5.44231549914898E-06,0.158203125,7.88971424102783,-18.6986301369863
american.restaurant,5.33713552110898,1.6095569513934E-07,35.1476014760148,25.9242957746479,9.22330570136688,25.8445564109278,17.2146550051365,271,568,30,20,4.53017307664449E-05,0.14453125,8.18404483795166,1.08610567514677
italian.restaurant,4.66174989275003,4.10538058964321E-06,30.8850364963504,22.2123015873016,8.67273490904878,25.7926806673131,16.1353700544222,274,252,15,15,3.38632248723103E-05,0.146484375,6.58212661743164,1.3600782778865
vegetarian.restaurant,5.63220050622053,1.03481132536902E-07,22.319587628866,13.7238493723849,8.59573825648104,13.8549377417648,9.14938443504486,97,239,15,10,0,0.291015625,5.98803043365479,4.32974559686889
asian.restaurant,5.41527107157648,2.07928576981607E-07,26.804347826087,18.238255033557,8.56609279252991,15.3059006584283,11.7726190187656,115,298,20,15,0,0.3046875,4.03364372253418,2.47553816046967
barbecue.restaurant,2.02327201470874,0.050004712783648,30.9677419354839,22.6179245283019,8.34981740718198,21.5414079870494,14.7856996366973,31,106,27.5,15,4.42325035487912E-08,0.185546875,7.48539209365845,0.978473581213308
mexican.restaurant,6.91174415639835,2.46631791563794E-11,27.3049645390071,18.9616755793226,8.34328895968445,19.4441689152046,11.4299968450046,282,1122,20,15,0,0.4375,8.32628059387207,0.821917808219176
restaurant,11.0268981511262,3.09229935679747E-27,27.5046554934823,19.2692813321648,8.23537416131754,22.445698723081,14.2255932740555,1074,2282,15,15,1.11577413974828E-13,0.244140625,7.28066349029541,1.72211350293542
japanese.restaurant,3.78972298360635,0.000235593738818,30.5294117647059,22.325327510917,8.20408425378885,18.0981702806389,13.8115469585373,85,229,27.5,15,0,0.302734375,3.8814971446991,1.1252446183953
telecommunications.service.provider,2.17901576731943,0.036885722773804,33.695652173913,25.8173076923077,7.87834448160535,15.7550418556574,10.8884850339632,23,52,37.5,27.5,4.57947013643434E-11,0.21875,7.87110614776611,21.5949119373777
tex.mex.restaurant,3.28983065011874,0.002015862243577,19.7297297297297,11.8951612903226,7.83456843940715,13.8792383889844,9.30001617120399,37,186,15,10,0,0.591796875,1.25023341178894,3.49315068493151
pasta.shop,2.01133968355857,0.053968100178929,23.625,15.9285714285714,7.69642857142857,15.3998248452103,9.87208099608575,20,35,15,15,0,0.41796875,7.67311429977417,1.71232876712329
car.repair.and.maintenance,3.41328503067085,0.00118866495601,31,23.4801136363636,7.51988636363636,13.8416367923345,10.2433756706405,45,176,30,25,6.03677253444568E-05,0.142578125,7.08725833892822,12.6810176125245
electronic.parts.supplier,7.34310271462256,1.9265464536638E-12,30.5201342281879,23.0630630630631,7.45707116512486,9.82221681826991,9.23048684565282,149,222,30,20,5.39915700703553E-07,0.171875,5.63208198547363,15.1761252446184
telephone.company,7.48421561280042,6.98388903539137E-13,30.265625,23.0096153846154,7.25600961538462,9.86782489510112,9.2818846195631,160,260,30,20,1.06539459099331E-06,0.16796875,5.43939208984375,15.1956947162427
pizza.takeaway,3.62380101840281,0.000540112724462,22.5,15.5246913580247,6.97530864197531,13.2549781004891,6.43132044886969,55,81,15,15,0,0.404296875,6.97173929214478,0.283757338551862
sushi.restaurant,2.42522035858804,0.01690667424935,30.7594936708861,23.8049450549451,6.95454861594102,23.2129026841193,15.9758667355723,79,182,20,15,1.94633198447036E-12,0.232421875,5.62745523452759,1.79060665362035
taco.restaurant,3.78051953016575,0.000317255553217,20.655737704918,13.7594696969697,6.89626800794833,13.5546858391009,9.12783657161792,61,264,15,10,0,0.578125,0.447703659534454,2.22602739726027
chicken.wings.restaurant,2.88901594347983,0.005410997344827,22.8061224489796,16.0483870967742,6.7577353522054,15.5593006505657,7.02598612764918,49,93,15,15,0,0.310546875,5.82421922683716,0.102739726027398
tea.house,2.80954572204254,0.008094217292471,21.4393939393939,14.7619047619048,6.67748917748917,13.3760265819567,4.36682191960783,33,84,15,15,4.44857972681234E-09,0.197265625,8.2125825881958,1.1252446183953
asian.fusion.restaurant,2.09154147353597,0.042318969902017,25.5681818181818,18.8988095238095,6.66937229437229,12.2700714618805,16.7113661201541,22,84,20,15,0,0.509765625,2.56216239929199,3.6545988258317
auto.repair.shop,7.29421773608012,2.6141846846513E-12,26.1277173913043,19.4754901960784,6.65222719522592,10.7973758806836,10.0517759456229,184,510,27.5,15,0.00176765261265,0.1171875,6.62560987472534,6.67808219178082
watch.store,2.14039997486867,0.040997120923751,20.6521739130435,14.0441176470588,6.60805626598465,13.8214546519407,6.45540371136065,23,34,15,10,6.39819183190227E-08,0.18359375,7.45121240615845,0.102739726027398
cell.phone.store,6.83799574876455,3.1389075813144E-11,29.4075829383886,22.9142857142857,6.49329722410291,11.5239807662726,9.76293918756153,211,350,30,20,4.44857972681234E-09,0.197265625,4.15835046768188,18.1213307240705
middle.eastern.restaurant,1.85042984895706,0.068292642907163,28.3125,22.0945945945946,6.21790540540541,16.4705204796872,12.9168482986358,40,37,20,15,1.81410442223751E-13,0.2421875,6.22315502166748,0.342465753424658
burrito.restaurant,3.2834709531371,0.00204570892337,17.3170731707317,11.2301587301587,6.08691444057298,11.6644524611965,4.72388571530541,41,189,15,10,0,0.515625,6.04488229751587,2.3972602739726
barber.shop,3.36516257288148,0.000929905040276,46.7142857142857,40.7231404958678,5.99114521841795,15.1804620671252,10.8610447650504,105,121,45,42.5,0,0.349609375,10.1276569366455,0.914872798434445
auto.body.shop,3.24478671126289,0.001626960352883,25.9803921568627,20.4365079365079,5.54388422035481,9.9257044003505,7.88705148691157,51,63,27.5,20,2.69373937711315E-07,0.17578125,5.04307079315186,5.42563600782779
halal.restaurant,2.47962869842647,0.015019702610949,22.9411764705882,17.6,5.34117647058823,14.6853895846169,6.05874024309785,68,25,15,15,0,0.345703125,6.71589136123657,0.538160469667318
delivery.restaurant,7.78609657931362,7.71996448763104E-14,20.832414553473,15.5277777777778,5.30463677569521,11.261933921069,7.64062251080212,907,180,15,15,2.99247415735948E-09,0.19921875,4.25143575668335,1.81996086105675
furniture.store,2.8994387988708,0.004901297641446,29.2592592592593,24.0771812080537,5.18207805120557,12.0006842339285,8.86435407019635,54,149,26.25,25,4.89319695873291E-12,0.228515625,2.80346655845642,0.215264187866929
diner,3.60383853689509,0.000403591715307,32.9166666666667,27.8616352201258,5.05503144654088,13.0261677863307,8.72775870385265,114,159,35,27.5,1.38162472765879E-05,0.15234375,5.10674858093262,5.88551859099805
hamburger.restaurant,7.25541185540291,2.65427914754207E-12,18.3129370629371,13.2705479452055,5.04238911773158,11.1908863504329,6.79015559613594,286,1022,15,10,1.99840144432528E-15,0.259765625,4.70255184173584,2.33365949119374
eye.care.center,1.27947586191716,0.203398407586861,44.6774193548387,39.7058823529412,4.97153700189754,22.865805376723,18.4366961439918,62,51,40,37.5,1.06539459099331E-06,0.16796875,5.0935230255127,1.88845401174169
electronics.store,5.91812874925713,6.68806373128846E-09,26.7633928571429,21.7948717948718,4.96852106227106,10.315311407003,8.9812074863065,224,351,25,20,1.32312032774529E-07,0.1796875,2.80088710784912,2.88649706457926
chinese.restaurant,7.44140283305078,2.97038202938885E-13,19.963768115942,15.0955414012739,4.86822671466814,10.9863944608212,6.54540146796777,414,314,15,15,0,0.314453125,6.18637847900391,2.18199608610567
caterer,3.8225095822253,0.000176431844528,19.4642857142857,14.6049222797927,4.85936343449297,15.7405585643547,7.38478615921412,168,386,15,15,7.71305241897835E-12,0.2265625,5.98887538909912,1.38454011741683
delivery.service,2.40255919873366,0.018973213957099,19.344262295082,14.5103092783505,4.83395301673145,15.1582048694226,5.22463085889174,61,97,15,15,0,0.296875,6.38295888900757,0.645792563600782
party.store,3.98935436150368,0.000155409487102,22.4553571428571,17.6363636363636,4.81899350649351,8.38682775965561,4.7269038157201,56,110,20,20,0.00176765261265,0.1171875,5.00697898864746,3.25342465753425
sportswear.store,4.42326225190146,1.96401257810677E-05,20.7638888888889,16.1021505376344,4.66173835125448,7.21450623095542,6.0056853226325,72,93,20,15,7.59917513470931E-07,0.169921875,3.95994830131531,7.66144814090019
variety.store,4.70766619686968,7.96323785991476E-06,22.4545454545455,17.890625,4.56392045454545,5.98011576073444,5.27317098498068,55,96,20,20,0.006723372720442,0.10546875,4.10376214981079,3.8013698630137
juice.shop,2.46300440995135,0.016463231553531,19.1071428571429,14.7222222222222,4.38492063492064,12.7958495706134,4.70244444627336,56,90,15,15,1.01675839302429E-05,0.154296875,5.56872415542603,0.777886497064582
financial.planner,3.72220143980631,0.000584376237087,16.7361111111111,12.3863636363636,4.34974747474747,6.70339584636145,3.2143064469982,36,88,15,10,0,0.275390625,5.43891668319702,3.46868884540118
tobacco.shop,1.6757038921382,0.102808974846252,15.2205882352941,10.8860759493671,4.33451228592703,14.9033203421,3.53639444723937,34,79,10,10,0,0.392578125,5.20971393585205,2.10861056751468
optician,1.52606666883407,0.129417816982176,36.8478260869565,32.5769230769231,4.27090301003344,17.5976904291415,14.7437038387447,69,65,37.5,35,0,0.306640625,2.6269862651825,2.74951076320939
health.food.restaurant,2.84882990954948,0.005304929538957,19.7260273972603,15.5188679245283,4.20715947273197,11.4682657242262,6.34069416670788,73,106,15,15,0,0.326171875,5.76145553588867,1.76125244618395
pet.store,2.2126810448701,0.034277249234779,17.7884615384615,13.8157894736842,3.97267206477733,8.61182103497637,3.75503455310618,26,38,15,15,1.99840144432528E-15,0.259765625,5.34894514083862,2.23091976516634
t.shirt.store,1.24707197480551,0.218315253049426,30.7407407407407,26.8367346938776,3.90400604686319,13.5486093313969,12.1275288407125,27,49,30,30,0,0.275390625,3.46538591384888,9.52054794520548
pet.groomer,1.10570664799639,0.276031587956967,27.5,23.6046511627907,3.8953488372093,15.7619002661481,14.5854714737706,25,86,20,15,5.55111512312578E-15,0.255859375,2.02005219459534,3.7573385518591
wheel.alignment.service,1.60255749133695,0.121335461122705,28.0681818181818,24.2418032786885,3.82637853949329,10.6606703248385,8.07946934027756,22,122,30,27.5,3.04599594436183E-08,0.1875,1.90600049495697,9.82876712328767
dessert.shop,4.97558488732214,1.88828001195446E-06,15.6617647058824,11.8988549618321,3.76290974405029,7.02652744562266,4.79925347662596,102,262,15,10,0,0.458984375,1.00610756874084,3.00391389432485
chicken.restaurant,6.38656893817228,1.1012765339793E-09,15.6714285714286,11.9587628865979,3.71266568483063,7.36072098810274,3.70717287131222,175,485,15,10,4.42325035487912E-08,0.185546875,3.92888903617859,2.96966731898239
dollar.store,5.04667038976345,1.98390605534902E-06,20.6896551724138,16.989247311828,3.70040786058584,4.72472739973587,3.76913847743554,58,93,20,20,0.006723372720442,0.10546875,3.69530177116394,2.4559686888454
pastry.shop,1.62984423466763,0.10947625275063,17.5,13.8194444444444,3.68055555555556,10.1989145080669,7.37965618418808,29,36,15,10,0.137929950174502,0.072265625,3.49379873275757,2.51956947162427
cafe,4.27238362068817,2.19219301653982E-05,21.1916461916462,17.5296296296296,3.66201656201656,14.6266804934937,11.8784276582033,407,675,15,15,4.44089209850063E-16,0.265625,0.817785084247589,1.1545988258317
pizza.restaurant,4.68588811992353,3.30489908804124E-06,19.8674698795181,16.26875,3.59871987951807,12.5667503594812,9.14925793380799,415,400,15,15,0.001395599865844,0.119140625,3.23357725143433,1.67318982387475
sandwich.shop,7.54118613883117,1.96989257545781E-13,16.401028277635,12.8511821974965,3.54984608013844,8.49293818062512,5.09896167472861,389,719,15,10,0,0.337890625,1.12533712387085,1.70254403131116
car.accessories.store,1.63599520055008,0.110142910983402,20.0714285714286,16.5573770491803,3.51405152224824,12.3741564520237,6.61173928547026,35,183,15,15,5.44231549914898E-06,0.158203125,2.92462635040283,0.856164383561641
brake.shop,1.77589040450233,0.080871473978149,27.9591836734694,24.4701086956522,3.48907497781721,13.0271498284568,8.54259197104422,49,184,27.5,25,1.81410442223751E-13,0.2421875,3.48985815048218,-8.5958904109589
car.dealer,1.30230398377597,0.198546431448342,38.8815789473684,35.4166666666667,3.46491228070175,15.0191023459254,11.9989582881182,38,126,37.5,37.5,0.000105948657496,0.138671875,3.52477765083313,-1.23287671232877
toy.store,3.01284818248377,0.003014706708057,23.1875,19.7282608695652,3.45923913043478,8.32465265174181,7.89810093713686,80,138,20,20,8.8977192280737E-10,0.205078125,0.957419335842133,2.25538160469667
school.supply.store,5.13744821728351,1.30655488266642E-06,19.9253731343284,16.5693430656934,3.35603006863493,4.72682042160004,3.57440990695123,67,137,20,15,0.003508537658452,0.111328125,3.35134220123291,2.26027397260274
pizza.delivery,2.06428399054891,0.041144799262997,19.7183098591549,16.4325842696629,3.28572558949201,11.3982242960303,7.91366446667493,71,89,15,15,6.58742826953329E-09,0.1953125,2.51476883888245,0.968688845401175
office.furniture.store,2.4287544401962,0.02163618246727,19.3478260869565,16.1475409836066,3.20028510334997,5.89767824619588,3.69610635477286,23,61,20,15,0.003508537658452,0.111328125,3.25110721588135,1.91780821917808
beer.store,1.77547834855105,0.081813726219659,15.7978723404255,12.6020408163265,3.195831524099,12.0360236349,3.93108100323396,47,98,10,10,9.21884537596895E-08,0.181640625,4.0558762550354,-0.176125244618397
fashion.accessories.store,2.21756758947411,0.027915345212369,20.1829268292683,17.0789473684211,3.10397946084724,7.72582337899779,10.8155020219388,82,95,20,15,2.86789873493731E-06,0.162109375,2.72269177436829,9.12915851272016
pet.supply.store,2.02499999895996,0.046608603528866,18.5,15.4452054794521,3.05479452054795,8.02240452476527,6.97642938551525,40,73,15,15,2.93876034618279E-13,0.240234375,2.49608087539673,2.87671232876712
mailbox.rental.service,7.69865390005601,1.93443266659986E-11,13.8793103448276,10.8661417322835,3.01316861254412,2.65619161620474,2.00143680423336,58,127,15,10,0.032075286238668,0.08984375,2.987788438797,3.44422700587084
freight.forwarding.service,6.69420882265525,2.24697573233008E-09,13.8461538461538,10.94,2.90615384615385,2.73240980608991,2.36881622811493,52,125,15,10,0.000105948657496,0.138671875,1.60092484951019,3.32681017612524
used.car.dealer,1.12946291373258,0.263443820583965,39.1447368421053,36.3319672131148,2.81276962899051,13.7211160480681,12.3364692592346,38,122,37.5,37.5,1.38162472765879E-05,0.15234375,1.42661416530609,-1.04696673189824
greek.restaurant,0.734657478666722,0.46575836758501,27.3387096774194,24.6,2.73870967741935,14.7610902356918,13.103752643168,31,25,27.5,20,0.004374982190571,0.109375,2.36678218841553,-0.601761252446185
auto.parts.store,2.35141409357444,0.020041315232117,20.3960396039604,17.7258064516129,2.67023315234749,10.3485063733089,8.43002676681863,101,310,15,15,1.89158425145664E-07,0.177734375,2.66424560546875,0.425636007827791
financial.institution,1.27554144134644,0.206723325099071,17,14.3560606060606,2.64393939393939,13.6464094103877,6.14426884397482,50,66,15,15,0.000139539154392,0.13671875,2.83603167533875,0.097847358121328
business.center,6.72349699388426,2.71707200174791E-10,14.4871794871795,11.8715083798883,2.61567110729122,2.74332052917765,3.133763839522,78,179,15,10,4.53017307664449E-05,0.14453125,1.22539055347443,3.10176125244618
tire.shop,2.36682501366337,0.019197510304883,25.625,23.0232558139535,2.60174418604651,10.4183799214137,7.82332776792211,108,301,20,20,0.01243884321659,0.099609375,2.16636538505554,0.318003913894323
financial.consultant,3.72396090245698,0.000320238231529,15.3846153846154,12.8048780487805,2.5797373358349,1.96116135138184,5.21734766443745,26,82,15,10,0,0.298828125,0.947511911392212,3.42465753424657
atm,12.0599602354703,4.72425687996826E-31,14.1685779816514,11.6326530612245,2.53592492042689,3.57348457338264,3.31237386301008,436,735,15,10,0.574927854440587,0.048828125,2.52180910110474,2.83757338551859
convenience.store,13.1995120928879,4.460897673517E-35,13.7260273972603,11.2084993359894,2.5175280612709,3.18612321687242,2.53964983457305,365,753,15,10,0.087866413941691,0.078125,1.97370231151581,2.92563600782779
children.s.clothing.store,1.63814135377953,0.102751100797789,27.5892857142857,25.1024590163934,2.48682669789227,11.3994259152341,11.8155483997109,112,122,27.5,25,0.003508537658452,0.111328125,1.83259463310242,13.3757338551859
book.store,0.562182707522462,0.576482345818028,33.0882352941176,30.6481481481481,2.4400871459695,22.122753468632,10.9542886006549,34,27,30,30,0,0.537109375,7.13233709335327,2.55381604696673
kitchen.supply.store,2.00852029540038,0.046881512225023,22.7830188679245,20.4960317460317,2.28698712189278,6.51662772183756,7.89949264997342,53,126,20,20,0.523945499929975,0.05078125,2.05973267555237,4.15851272015655
vegan.restaurant,1.18111317531633,0.23957415215172,21.8214285714286,19.575,2.24642857142857,12.6828755123962,11.4870095712021,70,100,15,15,0,0.287109375,0.267882317304611,-1.05675146771037
shredding.service,4.55398497128896,1.02234473712624E-05,13.9655172413793,11.7788461538462,2.18667108753316,2.60879428520237,4.20262605484045,58,156,15,10,0,0.396484375,0.6086066365242,3.06751467710372
shipping.and.mailing.service,4.90959771940794,1.18164110843122E-06,15.5672268907563,13.3904109589041,2.17681593185219,3.96366640235367,6.9035976523067,238,365,15,15,0,0.57421875,1.13788712024689,2.06457925636008
packaging.supply.store,2.5127079037017,0.012896393545345,15.0581395348837,12.9086538461538,2.14948568872987,6.48501376689144,7.10608517316633,86,208,15,10,1.42762957011655E-08,0.19140625,1.78299295902252,2.81800391389432
print.shop,3.9972567736724,7.90489136054605E-05,15.3571428571429,13.2126696832579,2.14447317388494,3.26834984083875,6.5214696213517,112,221,15,10,0,0.4765625,0.846393823623657,3.22896281800391
bank,10.6602114572357,2.35490512345001E-25,14.6247563352827,12.5152905198777,2.10946581540498,3.22769255166747,3.51105170362749,513,654,15,10,0.087866413941691,0.078125,1.49550771713257,2.43639921722113
office.supply.store,5.6298234995414,5.04741717454135E-08,14.9484536082474,12.875,2.07345360824742,2.74761689932013,3.72498631038455,97,240,15,10,0,0.2734375,0.409175604581833,2.70058708414873
store,0.470406840025645,0.638842120777673,22.4609375,20.3928571428571,2.06808035714286,24.8347402425849,26.04565290402,64,70,15,15,0,0.3046875,0.859815657138824,0.596868884540118
bubble.tea.store,3.2828599325798,0.001505695842031,15.6111111111111,13.5820895522388,2.02902155887231,3.4193448483473,2.86117825766972,45,67,15,15,0.054030819565955,0.083984375,1.37944173812866,1.54109589041096
women.s.clothing.store,1.83112943148125,0.067793047243415,26.7837078651685,24.7864768683274,1.99723099684114,10.6570638499953,12.4498549349121,178,281,27.5,25,0.00067092525578,0.125,1.64765048027039,14.9706457925636
mechanic,1.13419852750845,0.261792306408269,24.6666666666667,22.6898734177215,1.97679324894515,8.08716877841527,8.23115711304729,30,79,27.5,20,0.782269035062803,0.041015625,1.97378289699554,11.252446183953
car.battery.store,1.72804930760108,0.089940574298496,18.4210526315789,16.625,1.79605263157895,5.88232156296543,6.10984402942718,38,220,15,15,0.001395599865844,0.119140625,0.454181343317032,1.65362035225049
oil.change.service,1.17048365185899,0.244927838262739,26.8461538461538,25.1131221719457,1.73303167420815,10.962265917157,8.71184458750409,65,221,25,25,1.32312032774529E-07,0.1796875,0.429674059152603,-5.10763209393346
sunglasses.store,0.589954400968647,0.556798547734216,29.6666666666667,28,1.66666666666667,15.7718102955875,15.6629589423034,45,100,30,27.5,3.04599594436183E-08,0.1875,1.13190734386444,27.0645792563601
optometrist,0.648929752353556,0.517446392372671,38.6940298507463,37.0478723404255,1.64615751032073,16.0335716034429,15.6273934337085,67,94,40,37.5,1.42762957011655E-08,0.19140625,0.750161588191986,3.28767123287671
general.store,3.63991134809182,0.000361243685787,15.4120879120879,13.7765957446809,1.63549216740706,2.56211003167464,3.49240113758259,91,94,15,15,0.032075286238668,0.08984375,1.34202182292938,1.54598825831703
takeout.restaurant,2.69887654100613,0.007071671626635,15.5939716312057,13.9889705882353,1.60500104297038,11.3723918215748,8.22468030731364,564,544,10,10,3.88712617649389E-10,0.208984375,1.32013440132141,0.161448140900195
passport.office,1.52806230748286,0.129894933166733,17.0258620689655,15.531914893617,1.4939471753485,4.64665736658037,5.23720413226697,58,47,15,15,3.9584211193322E-06,0.16015625,0.694936633110046,1.10078277886497
lottery.retailer,2.42857142857143,0.021710925262542,11.6666666666667,10.25,1.41666666666667,2.41522945769824,1.11803398874989,21,20,10,10,0.001097560466683,0.12109375,1.40458250045776,1.23287671232877
beauty.supply.store,2.97915258589197,0.003015573273999,16.8055555555556,15.3942307692308,1.41132478632479,5.88027560287406,5.38241859278242,306,260,15,15,2.99247415735948E-09,0.19921875,0.954569041728973,1.14970645792564
auto.tune.up.service,0.473289112037448,0.639502486541218,24.7619047619048,23.4057971014493,1.35610766045549,11.8823598746409,10.1275960224291,21,69,20,20,1.89158425145664E-07,0.177734375,1.47749531269073,0.993150684931507
fast.food.restaurant,6.35842511752977,2.77921640716108E-10,13.4174311926606,12.0907524411258,1.32667875153476,5.46658307148666,4.01610701836147,872,1741,15,10,1.01675839302429E-05,0.154296875,0.975616574287415,1.1545988258317
cosmetics.store,2.33340737907414,0.020200836003271,16.5494791666667,15.2987421383648,1.25073702830189,5.75811739700389,4.26908206748351,192,159,15,15,1.22035714866797E-12,0.234375,1.32575142383575,0.777886497064578
