cat,newyork-newyork,losangeles-losangeles,chicago-chicago,houston-houston,stdev,median
deli,7.9020895957947,8.3454322814941,8.7395925521851,10.665984153748,1.21752429749177,8.5425124168396
optometrist,7.346866607666,14.353192329407,6.6277241706848,10.3064661026,3.51137424144735,8.826666355133
restaurant,34.389434814453,29.210916519165,27.728895187378,10.131286621094,10.5496527792657,28.4699058532715
tex.mex.restaurant,21.473827362061,4.8075346946716,8.39963722229,9.8603858947754,7.21191187263308,9.1300115585327
american.restaurant,34.953784942627,31.693365097046,31.329378128052,9.6563873291016,11.6160965696086,31.511371612549
lunch.restaurant,28.131374359131,13.34882068634,27.747116088867,9.2226791381836,9.76260305698737,20.5479683876035
taco.restaurant,19.990058898926,5.8012337684631,9.9181871414185,9.1624393463135,6.11569611191916,9.540313243866
chinese.restaurant,21.077503204346,27.692783355713,20.748516082764,9.1263198852539,7.71747370660267,20.913009643555
barbecue.restaurant,38.202373504639,28.417259216309,23.155187606811,9.0929174423218,12.1394457661923,25.78622341156
jewelry.store,6.3269367218018,0.87884098291397,11.961786270142,8.9763946533203,4.70609107729895,7.65166568756105
mexican.restaurant,26.963050842285,16.667333602905,19.229404449463,8.9680633544922,7.42051629569729,17.948369026184
store,1.8081712722778,2.2241878509522,18.73459815979,8.7234029769897,7.90334792619925,5.47379541397095
gift.shop,12.992831230164,9.0622396469116,8.3877782821655,8.6011276245117,2.17286607540441,8.83168363571165
barber.shop,1.0678104162216,12.764698982239,9.8868188858032,8.4855089187622,4.98474083796007,9.1861639022827
cell.phone.store,9.0118885040283,8.3802223205566,12.528730392456,8.3441658020019,1.99864605731751,8.69605541229245
electronic.parts.supplier,3.0513198375702,6.4374294281006,9.6005525588989,8.2697486877441,2.83907214618415,7.35358905792235
dessert.shop,14.9161901474,6.0070366859436,12.059065818787,8.2454338073731,3.96039173560554,10.1522498130801
telephone.company,10.517157554627,5.8161120414734,11.754565238953,8.02952003479,2.64354103146806,9.2733387947085
auto.repair.shop,5.6598625183106,7.6444592475891,5.2643060684204,7.9635510444641,1.36793463782329,6.65216088294985
men.s.clothing.store,8.0015811920166,3.4314670562744,7.9344205856323,7.9140801429748,2.25958946309143,7.92425036430355
caterer,21.747774124146,17.185024261475,24.838500976562,7.7197484970093,7.463107146508,19.4663991928105
nail.salon,1.3926043510437,17.625709533691,14.654188156128,7.5802230834961,7.28841920238047,11.1172056198121
auto.body.shop,1.9517905712128,7.2699899673462,2.2695343494415,7.5451164245606,3.06297128635983,4.76976215839385
latin.american.restaurant,30.414178848267,21.880422592163,16.026378631592,7.4350066184998,9.68085608168107,18.9534006118775
pizza.restaurant,22.728630065918,20.627853393555,25.321670532227,7.3027396202087,8.02790791108373,21.6782417297365
craft.store,10.702397346497,1.1886609792709,1.6424292325973,7.1728749275208,4.57943120728136,4.40765208005905
diner,19.848707199097,30.159553527832,30.986747741699,7.124885559082,11.1539745598844,25.0041303634645
electronics.store,3.3615520000458,5.5923705101013,7.1329417228699,6.9441432952881,1.73856229457982,6.2682569026947
burrito.restaurant,12.287560462952,4.6657733917236,8.2389621734619,6.3319368362427,3.28040601377346,7.2854495048523
department.store,6.2934832572937,6.2322220802307,3.6990723609924,6.3209056854248,1.29209761896558,6.2628526687622
swimwear.store,15.382795333862,1.8185150623321,5.4714913368225,5.8440179824829,5.7943910025802,5.6577546596527
women.s.clothing.store,5.8795738220215,4.3627257347107,3.0207722187042,5.7663888931274,1.34771120730438,5.06455731391905
tire.shop,6.2762293815613,4.7260093688965,1.6009792089462,5.6913266181946,2.08230341864353,5.20866799354555
coffee.shop,16.958763122559,9.0493726730347,11.993772506714,5.5721940994263,4.82061954586144,10.5215725898743
vegetarian.restaurant,28.424373626709,17.101022720337,22.457580566406,5.5625395774841,9.72006544251439,19.7793016433715
health.food.store,3.204060792923,0.51823008060455,2.169572353363,5.2631936073303,1.98611814705932,2.686816573143
sandwich.shop,18.290962219238,9.5006742477417,10.832465171814,4.9479327201843,5.53822791827669,10.1665697097779
home.improvement.store,5.3404598236084,3.6782491207123,1.9812310934067,4.9239444732666,1.50864277448549,4.30109679698945
sportswear.store,7.1138978004456,5.5803575515747,4.0093660354614,4.8240423202515,1.32089066594945,5.2021999359131
sunglasses.store,8.9234933853149,6.90434217453,3.4130334854126,4.7898426055908,2.41669810609979,5.8470923900604
clothing.store,10.550691604614,4.8856544494629,4.678708076477,4.7246837615967,2.89519797881078,4.8051691055298
hamburger.restaurant,25.551500320435,10.236187934876,11.893824577332,4.6327595710754,8.87671977892012,11.065006256104
fashion.accessories.store,8.4185647964478,6.0148668289185,10.945290565491,4.4416303634644,2.84399750552395,7.21671581268315
shoe.store,4.3849053382873,4.0364713668823,9.2950124740601,4.3598012924194,2.5223054063418,4.37235331535335
delivery.service,16.980188369751,9.7070894241333,24.220806121826,4.3402194976807,8.65920664427851,13.3436388969422
breakfast.restaurant,12.911568641663,12.062308311462,11.014695167542,4.2105321884155,3.96938201401565,11.538501739502
fast.food.restaurant,14.605741500854,7.3882741928101,9.6968774795532,4.0826568603516,4.42248345501673,8.54257583618165
bakery,11.060854911804,9.2601022720337,9.9892854690552,4.0042791366577,3.13796535160743,9.62469387054445
bank,4.217324256897,2.0285356044769,3.4877116680145,3.9254803657532,0.971576845308324,3.70659601688385
chicken.restaurant,13.275079727173,8.5162391662598,7.118588924408,3.8974664211273,3.89605240229685,7.8174140453339
beer.store,16.268772125244,9.5536670684815,7.1347651481628,3.8872525691986,5.24666897203832,8.34421610832215
chicken.wings.restaurant,26.363864898682,10.897903442383,9.8082513809204,3.6354827880859,9.66909519878574,10.3530774116517
cosmetics.store,5.0246500968933,3.2274496555328,0.19377271831036,3.5016181468964,2.02293387382764,3.3645339012146
tobacco.shop,22.052843093872,15.479035377502,9.1309118270874,3.3057427406311,8.08324062659807,12.3049736022947
children.s.clothing.store,9.1034030914307,2.2426295280456,4.9255003929138,3.1373982429504,3.04568020765811,4.0314493179321
veterinarian,6.9013519287109,5.035587310791,6.6979160308838,3.1258950233459,1.75466364542561,5.8667516708374
wine.store,3.4650127887726,10.642344474793,8.0893125534058,3.0722110271454,3.67478720245468,5.7771626710892
packaging.supply.store,0.28401535749435,2.1496727466583,3.0972590446472,3.0544495582581,1.31620340122892,2.6020611524582
post.office,1.579348564148,0.32068398594856,3.8907461166382,3.046017408371,1.58019685312764,2.3126829862595
takeout.restaurant,20.694458007812,11.272411346436,18.686256408691,3.0141031742096,8.03214336003368,14.9793338775635
hardware.store,3.5536980628967,1.3437231779098,1.3815273046493,2.9686088562012,1.12194602684506,2.17506808042525
variety.store,2.9113841056824,1.2224103212357,0.21499337255955,2.7878587245941,1.29819001182894,2.0051345229149
donut.shop,4.8475189208984,2.0303928852081,5.8760900497436,2.729302406311,1.79492647350789,3.7884106636047
atm,4.725106716156,1.2952811717987,2.7008831501007,2.6094560623169,1.41563570748989,2.6551696062088
ice.cream.shop,10.582386016846,6.2830753326416,6.3949251174927,2.5136523246765,3.29657275587947,6.33900022506715
shipping.and.mailing.service,3.020161151886,0.89172583818436,1.1357284784317,2.4678382873535,1.02893829649705,1.8017833828926
discount.store,5.291944026947,1.1346366405487,1.2902191877365,2.411655664444,1.92582602910622,1.85093742609025
pet.groomer,1.5541803836823,4.678053855896,7.822744846344,2.3762581348419,2.80744338303455,3.52715599536895
animal.hospital,4.8170561790466,6.0848202705383,4.9737038612366,2.189596414566,1.65060372641189,4.8953800201416
family.restaurant,36.635581970215,33.228626251221,27.919658660889,2.1724255084991,15.6281705480864,30.574142456055
toy.store,7.3873634338379,6.4270997047424,4.9373407363892,2.0909876823425,2.3111917688956,5.6822202205658
shredding.service,1.0537827014923,1.1123689413071,4.0111932754517,2.0426931381226,1.38055942538441,1.57753103971485
money.order.service,0.41953930258751,1.624440908432,2.7738447189331,1.9210147857666,0.974054010266936,1.7727278470993
greeting.card.shop,2.0925419330597,2.0797381401062,0.057702958583832,1.8407424688339,0.980183301762919,1.96024030447005
eye.care.center,2.3637552261352,6.8280186653137,4.3559098243713,1.8115319013596,2.27217955547067,3.35983252525325
car.battery.store,7.6385531425476,4.3565201759338,0.15334285795689,1.7158271074295,3.27821233758838,3.03617364168165
auto.parts.store,2.5240540504456,3.9266536235809,0.95684003829956,1.672639131546,1.27675027217765,2.0983465909958
office.supply.store,3.8893792629242,3.9622876644134,4.4445805549622,1.591894030571,1.27740607354145,3.9258334636688
tool.store,2.0509276390076,1.2877825498581,4.1827411651611,1.555361866951,1.31428405173482,1.8031447529793
car.rental.agency,1.3308217525482,1.7276109457016,0.54674750566482,1.5039527416229,0.51339488926003,1.41738724708555
kitchen.supply.store,3.9749598503113,3.0498225688934,0.7485163807869,1.2781900167465,1.50702881576646,2.16400629281995
furniture.store,1.4099014997482,5.1996665000916,5.8807721138,1.216511964798,2.45752500774443,3.3047839999199
car.repair.and.maintenance,2.7582900524139,7.4707832336426,6.7596683502197,1.2125028371811,3.04207825763983,4.7589792013168
paint.store,2.9170074462891,0.87999570369721,0.3786828815937,1.0912538766861,1.10791043998821,0.985624790191655
fax.service,8.0007514953613,1.0312238931656,0.99138194322586,1.0582972764969,3.48700020442699,1.04476058483125
logistics.service,1.6691838502884,1.0721808671951,4.2077646255493,1.0156722068787,1.50699522024508,1.37068235874175
oil.change.service,4.0327134132385,5.0267486572266,0.47164145112038,0.98833405971527,2.24095126018176,2.51052373647688
school.supply.store,1.8477638959885,0.36184692382812,0.27337065339088,0.88104122877121,0.72271884521241,0.621444076299665
convenience.store,1.8588262796402,0.91463768482208,0.063495635986328,0.7694274187088,0.738543758090012,0.84203255176544
home.goods.store,7.9826288223267,2.7456963062286,5.4118475914002,0.76304560899734,3.14652435797398,4.0787719488144
grocery.store,5.7331175804138,0.96365976333618,2.4629948139191,0.74405324459076,2.30186856089348,1.71332728862764
supermarket,2.8142063617706,0.60622102022171,2.5496611595154,0.71253097057342,1.17351081496857,1.63109606504441
loan.agency,3.0830461978912,4.9442682266235,6.9061670303345,0.68176376819611,2.65530514239415,4.01365721225735
liquor.store,2.245575428009,3.1461346149445,3.7457411289215,0.6533927321434,1.34574819305447,2.69585502147675
salad.shop,14.770646095276,1.3632835149765,6.9150977134705,0.52244144678116,6.56299003164831,4.1391906142235
gas.station,0.333829164505,0.072582349181175,0.37488341331482,0.49668750166893,0.178546337946379,0.35435628890991
pet.supply.store,1.5225651264191,4.5939898490906,0.20258232951164,0.47789570689201,2.01183637202195,1.00023041665556
party.store,5.3348093032837,2.301815032959,0.20219753682613,0.46181684732437,2.36555494554004,1.38181594014169
tool.rental.service,0.7921250462532,2.1839597225189,0.22592303156853,0.42503944039345,0.883171176111098,0.608582243323325
print.shop,6.4772729873657,4.3175487518311,2.783077955246,0.37053847312927,2.57160017717215,3.55031335353855
business.center,2.618613243103,3.633252620697,0.18840864300728,0.35449188947678,1.70064788087785,1.48655256628989
check.cashing.service,1.9979609251022,0.68597000837326,3.7543575763702,0.3115768134594,1.55611837187574,1.34196546673773
mailbox.rental.service,0.40852510929108,2.7601234912872,0.58425909280777,0.29347813129425,1.17180103439248,0.496392101049425
freight.forwarding.service,1.1104605197907,4.4581475257873,0.55786037445068,0.2814414203167,1.93505316616457,0.83416044712069
car.wash,2.6530649662018,7.9570679664612,1.2174822092056,0.27455624938011,3.43004811947716,1.9352735877037
dollar.store,2.5344445705414,0.56780159473419,0.23331740498543,0.25631731748581,1.10159602893582,0.41205945611
brake.shop,4.2448930740356,6.7639923095703,1.3597815036774,0.17994466423988,2.96002151040033,2.8023372888565
perfume.store,2.5834088325501,0.81673455238342,0.65345084667206,0.17807897925377,1.05245777684858,0.73509269952774
car.accessories.store,0.92923551797867,0.35434877872467,0.33373114466667,0.17251497507095,0.331313732735154,0.34403996169567
notary.public,2.4805235862732,1.2541925907135,0.97710245847702,0.16272929310799,0.960364857206169,1.11564752459526
money.transfer.service,4.7048621177673,0.46652454137802,3.9088628292084,0.1545844078064,2.33351940061907,2.18769368529321
drug.store,2.2632298469544,1.5270193815231,0.26596969366074,0.11378470808268,1.03125357379873,0.89649453759192
beauty.supply.store,4.2390050888061,5.2747898101807,2.2526128292084,0.082332253456116,2.293138682722,3.24580895900725
stationery.store,1.6340358257294,2.1160559654236,0.070576503872871,0.028815925121307,1.07221657307358,0.852306164801136
